experiment,model_type,target,sample_size,loss_function,beta,learning_rate,training_steps,grad_accum,warmup_steps,preference_pairs,energy_gap,label_smoothing,simpo_gamma,validity_rate,stability_rate_ehull005,stable_count,composition_hit_rate,matgl_energy_mean,matgl_energy_median,matgl_energy_std,matgl_energy_p10,matgl_energy_p90,matgl_energy_best,matgl_energy_worst,efficiency_s_per_stable,novelty,training_loss_init,training_loss_final,pi_delta_end
exp_smoke_test,baseline,LiFePO4,100,,,,,,,,,,,1.0000,0.9846,,,,-3.260899,-2.920719,,-5.606209,-1.555962,,,7.5,,,,
exp_smoke_test,dpo,LiFePO4,100,dpo,,,,,,,,,,1.0000,0.9846,,,,-3.286847,-2.937036,,-5.606209,-1.713553,,,7.4,,,,
exp_smoke_test_v2,baseline,LiFePO4,100,,,,,,,,,,,1.0000,0.1282,,,0.5068,-3.934307,-4.424765,,-5.860554,-1.960141,-6.076520,6.759610,103.9,,,,
exp_smoke_test_v2,dpo,LiFePO4,100,dpo,,,,,,,,,,1.0000,0.1250,,,0.5135,-3.675666,-4.415865,,-5.826880,-0.847679,-6.076520,6.759610,102.2,,,,
exp_20260206_LiFePO4,baseline,LiFePO4,1627,,,,,,,,,,,1.0000,,,,0.0006,-3.235170,-3.400748,,,-1.313900,,400.652496,,,,,
exp_20260206_LiFePO4,dpo,LiFePO4,1605,dpo,,,,,,,,,,1.0000,,,,0.0000,-3.757524,-3.600337,,,-1.401862,,34.495625,,,,,
exp_sft_stable,baseline,LiFePO4,50000,,,,,,,,,,,1.0000,0.1212,6060,0.5575,-4.408218,-5.171051,,-5.616938,-3.104878,-6.525834,102.763297,0.2,,,,
exp_sft_stable,sft,LiFePO4,50000,sft,,,,,,,,,,1.0000,0.1103,,0.5778,-4.329710,-5.122064,,-5.616708,-3.004767,-6.525834,147.358785,0.7,,,,
exp_final_50k,baseline,LiFePO4,50000,,,,,,,,,,,1.0000,0.1212,6062,0.5575,-4.408218,-5.171051,3.135087,-5.616938,-3.104878,-6.525834,102.763297,13.2,,,,
exp_final_50k,dpo,LiFePO4,50000,dpo,0.1,5e-7,2000,8,100,5000,0.05,,,1.0000,0.1227,6136,0.5532,-4.407494,-5.178731,3.151303,-5.618572,-3.111726,-6.525834,102.763297,13.0,,,,
exp_ablation_dpo,baseline,LiFePO4,50000,,,,,,,,,,,1.0000,0.1212,6062,0.5575,-4.408218,-5.171051,3.135087,-5.616938,-3.104878,-6.525834,102.763297,,,,,
exp_ablation_dpo,dpo,LiFePO4,50000,dpo,2.5,1e-7,8000,16,400,15000,0.1,,,1.0000,0.1216,,0.5582,-4.404650,-5.172206,3.120627,-5.618309,-3.102226,-6.525834,102.763297,,,,0.809,0.655,0.050
exp_ablation_cdpo,baseline,LiFePO4,50000,,,,,,,,,,,1.0000,0.1212,6062,0.5575,-4.408218,-5.171051,3.135087,-5.616938,-3.104878,-6.525834,102.763297,,,,,
exp_ablation_cdpo,dpo,LiFePO4,50000,cdpo,2.5,1e-7,8000,16,400,15000,0.1,0.1,,1.0000,0.1214,,0.5582,-4.405549,-5.172074,3.121784,-5.618259,-3.105043,-6.525834,102.763297,,,,0.800,0.672,0.045
exp_ablation_simpo,baseline,LiFePO4,50000,,,,,,,,,,,1.0000,0.1212,6062,0.5575,-4.408218,-5.171051,3.135087,-5.616938,-3.104878,-6.525834,102.763297,,,,,
exp_ablation_simpo,dpo,LiFePO4,50000,simpo,2.0,1e-7,8000,16,400,15000,0.1,,1.0,1.0000,0.1214,,0.5581,-4.404513,-5.171420,3.115760,-5.618203,-3.098602,-6.525834,102.763297,,,1.0000,1.517,1.294,0.053
